Team,Conference,latitude,longitude,Name,Capacity,Location,Surface,Roof type,Opened
TEN,AFC,36.166461,-86.771289,Nissan Stadium,69143.0,"Nashville, Tennessee",Bermuda grass,Open,1999.0
NYG,NFC,40.812194,-74.076983,MetLife Stadium,82500.0,"East Rutherford, New Jersey",UBU Sports Speed Series S5-M Synthetic Turf,Open,2010.0
PIT,AFC,40.446786,-80.015761,Heinz Field,68400.0,"Pittsburgh, Pennsylvania",Kentucky bluegrass,Open,2001.0
CAR,NFC,35.225808,-80.852861,Bank of America Stadium,75523.0,"Charlotte, North Carolina",Bermuda grass,Open,1996.0
BAL,AFC,39.277969,-76.622767,M&T Bank Stadium,71008.0,"Baltimore, Maryland",Bermuda grass,Open,1998.0
TAM,NFC,27.975967,-82.50335,Raymond James Stadium,65890.0,"Tampa, Florida",Bermuda grass,Open,1998.0
IND,AFC,39.760056,-86.163806,Lucas Oil Stadium,67000.0,"Indianapolis, Indiana",Shaw Sports Momentum Pro,Retractable,2008.0
MIN,NFC,44.973881,-93.258094,U.S. Bank Stadium,66655.0,"Minneapolis, Minnesota",UBU Speed Series S5-M Synthetic Turf,Fixed,2016.0
ARI,NFC,33.5277,-112.262608,State Farm Stadium,63400.0,"Glendale, Arizona",Bermuda grass,Retractable,2006.0
DAL,NFC,32.747778,-97.092778,AT&T Stadium,80000.0,"Arlington, Texas",Hellas Matrix Turf,Retractable,2009.0
ATL,NFC,33.757614,-84.400972,Mercedes-Benz Stadium,71000.0,"Atlanta, Georgia",FieldTurf Revolution,Retractable,2017.0
NYJ,AFC,40.812194,-74.076983,,,,,,
DEN,AFC,39.743936,-105.020097,Empower Field at Mile High,76125.0,"Denver, Colorado",Kentucky bluegrass,Open,2001.0
MIA,AFC,25.957919,-80.238842,Hard Rock Stadium,65326.0,"Miami Gardens, Florida",Platinum TE Paspalum,Open,1987.0
PHI,NFC,39.900775,-75.167453,Lincoln Financial Field,69596.0,"Philadelphia, Pennsylvania",Desso GrassMaster,Open,2003.0
CHI,NFC,41.862306,-87.616672,Soldier Field,61500.0,"Chicago, Illinois",Kentucky bluegrass,Open,1924.0
NWE,AFC,42.090925,-71.26435,Gillette Stadium,66829.0,"Foxborough, Massachusetts",FieldTurf CORE,Open,2002.0
WAS,NFC,38.907697,-76.864517,FedExField,82000.0,"Landover, Maryland",Bermuda grass,Open,1997.0
GNB,NFC,44.501306,-88.062167,Lambeau Field,81441.0,"Green Bay, Wisconsin",Desso GrassMaster,Open,1957.0
LAC,AFC,32.783117,-117.119525,Dignity Health Sports Park,27000.0,"Carson, California",Bermuda grass,Open,2003.0
NOR,NFC,29.950931,-90.081364,Mercedes-Benz Superdome,73208.0,"New Orleans, Louisiana",FieldTurf Revolution 360,Fixed,1975.0
HOU,AFC,29.684781,-95.410956,NRG Stadium,72220.0,"Houston, Texas",Hellas Matrix Turf,Retractable,2002.0
BUF,AFC,42.773739,-78.786978,New Era Field,71608.0,"Orchard Park, New York",A-Turf Titan 50,Open,1973.0
SFO,NFC,37.713486,-122.386256,Levi's Stadium,68500.0,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open,2014.0
JAX,AFC,30.323925,-81.637356,TIAA Bank Field,69132.0,"Jacksonville, Florida",Bermuda grass,Open,1995.0
CLE,AFC,41.506022,-81.699564,FirstEnergy Stadium,67895.0,"Cleveland, Ohio",Kentucky bluegrass,Open,1999.0
LVR,AFC,37.751411,-122.200889,RingCentral Coliseum,56057.0,"Oakland, California",Bermuda grass,Open,1966.0
KAN,AFC,39.048914,-94.484039,Arrowhead Stadium,76416.0,"Kansas City, Missouri",Bermuda grass,Open,1972.0
LAR,NFC,38.632975,-90.188547,Los Angeles Memorial Coliseum,78500.0,"Los Angeles, California",Bermuda grass,Open,1923.0
SEA,NFC,47.595153,-122.331625,CenturyLink Field,69000.0,"Seattle, Washington",FieldTurf Revolution 360,Open,2002.0
CIN,AFC,39.095442,-84.516039,Paul Brown Stadium,65515.0,"Cincinnati, Ohio",UBU Speed Series S5-M Synthetic Turf,Open,2000.0
DET,NFC,42.340156,-83.045808,Ford Field,65000.0,"Detroit, Michigan",FieldTurf Classic HD,Fixed,2002.0
